,age,weight(kg),height(m),gender,BMI,BMR,activity_level,calories_to_maintain_weight,B1I_tags,Label,height(new)
10325,23,62,1.632,1,23,1579.3,1.5,2369,8,19,163
10330,24,62,1.632,1,23,1573.0,1.3,2045,8,17,163
10334,24,63,1.631,1,24,1580.2,1.5,2370,8,19,163
10336,24,63,1.631,1,24,1585.3,1.5,2378,8,19,163
10337,24,61,1.631,0,23,1404.8,1.3,1826,8,16,163
10340,25,61,1.632,0,23,1402.3,1.7,2384,8,19,163
10341,24,62,1.633,0,23,1416.8,1.7,2409,8,19,163
10344,25,63,1.631,0,24,1419.1,1.7,2412,8,19,163
10345,22,61,1.631,0,23,1413.1,1.3,1837,8,16,163
10348,24,61,1.632,0,23,1404.9,1.7,2388,8,19,163
10353,25,62,1.632,1,23,1556.6,1.7,2646,8,20,163
10355,23,62,1.632,1,23,1568.2,1.3,2039,8,17,163
10358,25,63,1.631,0,24,1423.3,1.7,2420,8,19,163
10364,23,63,1.633,1,23,1582.5,1.5,2374,8,19,163
10365,22,63,1.631,0,24,1436.1,1.7,2441,8,19,163
10368,24,63,1.631,0,24,1420.8,1.3,1847,8,16,163
10369,25,63,1.632,1,24,1574.0,1.5,2361,8,19,163
10377,24,61,1.632,1,23,1561.2,1.3,2030,8,17,163
10384,24,61,1.631,1,23,1553.3,1.3,2019,8,17,163
10386,23,62,1.632,0,23,1418.8,1.7,2412,8,19,163
10387,24,62,1.633,1,23,1569.1,1.3,2040,8,17,163
10393,24,61,1.633,1,23,1554.7,1.3,2021,8,17,163
10398,24,61,1.632,1,23,1548.5,1.9,2942,8,22,163
10399,22,61,1.631,1,23,1572.1,1.5,2358,8,19,163
10401,23,61,1.631,0,23,1410.2,1.3,1833,8,16,163
10402,24,61,1.631,0,23,1401.7,1.3,1822,8,16,163
10409,22,63,1.631,0,24,1436.1,1.5,2154,8,18,163
10416,22,60,1.631,0,23,1409.2,1.3,1832,8,16,163
10420,22,61,1.632,1,23,1561.7,1.3,2030,8,17,163
10425,23,61,1.632,1,23,1565.1,1.3,2035,8,17,163
10427,24,61,1.633,1,23,1550.4,1.3,2016,8,17,163
10430,24,61,1.632,1,23,1554.1,1.7,2642,8,20,163
10431,24,61,1.631,1,23,1549.5,1.9,2944,8,22,163
10433,23,63,1.632,1,24,1586.8,1.5,2380,8,19,163
10434,24,62,1.633,0,23,1413.6,1.7,2403,8,19,163
10438,25,61,1.631,1,23,1540.7,1.3,2003,8,17,163
10439,25,62,1.633,0,23,1405.6,1.3,1827,8,16,163
10445,24,62,1.631,1,23,1571.0,1.3,2042,8,17,163
10446,25,61,1.632,0,23,1404.3,1.3,1826,8,16,163
10448,24,62,1.632,1,23,1567.2,1.3,2037,8,17,163
10453,24,62,1.632,1,23,1574.4,1.5,2362,8,19,163
10455,25,61,1.632,1,23,1552.9,1.3,2019,8,17,163
10457,24,61,1.633,1,23,1551.5,1.9,2948,8,22,163
10458,24,63,1.632,0,24,1427.9,1.7,2427,8,19,163
10465,23,61,1.632,0,23,1405.9,1.7,2390,8,19,163
10466,23,63,1.631,1,24,1582.6,1.5,2374,8,19,163
10468,24,62,1.631,0,23,1411.0,1.7,2399,8,19,163
10470,23,63,1.633,1,24,1592.7,1.5,2389,8,19,163
10471,24,63,1.631,1,24,1588.0,1.5,2382,8,19,163
10472,25,63,1.632,0,24,1416.9,1.3,1842,8,16,163
10477,25,61,1.633,1,23,1543.9,1.3,2007,8,17,163
10480,22,63,1.631,0,24,1435.6,1.7,2440,8,19,163
10485,23,61,1.632,0,23,1412.3,1.7,2401,8,19,163
10486,23,61,1.633,0,23,1413.9,1.3,1838,8,16,163
10488,23,62,1.632,1,23,1569.8,1.3,2041,8,17,163
10494,25,62,1.631,0,23,1411.9,1.3,1836,8,16,163
10495,25,64,1.632,0,24,1427.3,1.7,2426,8,19,163
10497,23,62,1.632,1,23,1569.9,1.5,2355,8,19,163
10499,24,61,1.633,0,23,1403.9,1.7,2387,8,19,163
10500,25,62,1.631,1,23,1559.5,1.3,2027,8,17,163
10504,25,61,1.631,0,23,1404.4,1.3,1826,8,16,163
10509,22,61,1.631,0,23,1415.8,1.7,2407,8,19,163
10514,24,64,1.633,1,24,1589.4,1.5,2384,8,19,163
10517,24,60,1.632,1,23,1546.9,1.7,2630,8,20,163
10520,25,61,1.633,0,23,1400.1,1.7,2380,8,19,163
10521,23,64,1.633,0,24,1435.5,1.7,2440,8,19,163
10522,25,61,1.631,1,23,1541.2,1.3,2004,8,17,163
10523,23,61,1.632,0,23,1413.7,1.3,1838,8,16,163
10528,24,62,1.633,1,23,1562.3,1.3,2031,8,17,163
10533,24,62,1.632,0,23,1411.4,1.3,1835,8,16,163
10537,23,61,1.633,1,23,1564.1,1.3,2033,8,17,163
10539,24,62,1.632,0,23,1416.5,1.3,1841,8,16,163
10540,23,64,1.632,0,24,1436.3,1.7,2442,8,19,163
10544,23,63,1.631,0,24,1426.7,1.7,2425,8,19,163
10552,25,63,1.633,1,24,1572.7,1.5,2359,8,19,163
10557,25,60,1.633,1,23,1540.8,1.3,2003,8,17,163
10558,24,64,1.631,1,24,1589.1,1.5,2384,8,19,163
10560,23,63,1.631,1,24,1588.1,1.5,2382,8,19,163
10563,25,64,1.631,0,24,1425.0,1.7,2422,8,19,163
10564,25,61,1.631,0,23,1404.9,1.3,1826,8,16,163
10565,23,63,1.633,0,24,1429.0,1.7,2429,8,19,163
10566,24,62,1.631,1,23,1564.8,1.3,2034,8,17,163
10568,25,61,1.632,0,23,1399.9,1.3,1820,8,16,163
10574,23,62,1.632,1,23,1569.7,1.5,2355,8,19,163
10577,25,61,1.632,0,23,1396.4,1.3,1815,8,16,163
10578,23,62,1.632,1,23,1576.7,1.5,2365,8,19,163
10582,24,63,1.631,1,24,1575.2,1.5,2363,8,19,163
10585,23,63,1.631,1,24,1589.7,1.5,2385,8,19,163
10588,24,61,1.632,1,23,1553.7,1.3,2020,8,17,163
10589,23,62,1.632,1,23,1575.8,1.5,2364,8,19,163
10598,25,62,1.631,1,23,1558.5,1.7,2649,8,20,163
10599,25,63,1.632,0,24,1418.2,1.7,2411,8,19,163
10604,23,61,1.632,0,23,1406.3,1.7,2391,8,19,163
10605,25,63,1.633,1,23,1569.4,1.5,2354,8,19,163
10609,25,63,1.631,0,24,1423.7,1.7,2420,8,19,163
10618,24,62,1.633,0,23,1411.4,1.7,2399,8,19,163
10622,25,61,1.631,1,23,1543.3,1.9,2932,8,22,163
10623,25,63,1.631,0,24,1416.3,1.3,1841,8,16,163
10624,25,61,1.631,1,23,1553.1,1.7,2640,8,20,163
10627,24,62,1.632,1,23,1568.9,1.3,2040,8,17,163
10628,24,61,1.631,1,23,1547.7,1.9,2941,8,22,163
10629,23,61,1.631,1,23,1562.4,1.3,2031,8,17,163
10633,25,63,1.631,0,24,1423.1,1.7,2419,8,19,163
10635,22,63,1.631,0,24,1436.8,1.7,2443,8,19,163
10637,23,61,1.632,1,23,1556.7,1.7,2646,8,20,163
10639,24,63,1.633,1,24,1586.1,1.5,2379,8,19,163
10640,23,63,1.632,0,23,1424.4,1.7,2421,8,19,163
10644,25,61,1.631,1,23,1545.0,1.9,2935,8,22,163
10646,24,63,1.632,0,24,1420.4,1.3,1846,8,16,163
10647,24,62,1.632,1,23,1573.1,1.5,2360,8,19,163
10651,25,63,1.632,0,24,1422.5,1.7,2418,8,19,163
10656,25,62,1.631,0,23,1407.5,1.7,2393,8,19,163
10658,23,62,1.633,0,23,1417.1,1.7,2409,8,19,163
10663,23,61,1.632,1,23,1559.5,1.3,2027,8,17,163
10665,24,61,1.631,1,23,1553.4,1.3,2019,8,17,163
10666,23,62,1.631,0,23,1420.8,1.7,2415,8,19,163
10670,23,63,1.633,0,24,1430.0,1.7,2431,8,19,163
10671,24,61,1.632,0,23,1404.8,1.3,1826,8,16,163
10674,23,62,1.631,0,23,1420.1,1.7,2414,8,19,163
10676,23,62,1.633,1,23,1575.9,1.3,2049,8,17,163
10677,22,61,1.631,0,23,1417.0,1.3,1842,8,16,163
10678,24,61,1.631,0,23,1400.6,1.3,1821,8,16,163
10683,23,61,1.632,1,23,1560.6,1.3,2029,8,17,163
10685,24,61,1.632,0,23,1408.5,1.7,2395,8,19,163
10691,22,61,1.633,1,23,1572.1,1.3,2044,8,17,163
10695,23,61,1.633,0,23,1406.4,1.3,1828,8,16,163
10696,24,61,1.632,0,23,1402.8,1.7,2385,8,19,163
10698,24,61,1.631,1,23,1552.8,1.7,2640,8,20,163
10703,24,61,1.632,0,23,1401.6,1.3,1822,8,16,163
10709,23,63,1.633,0,24,1432.9,1.7,2436,8,19,163
10711,24,61,1.631,1,23,1556.5,1.7,2646,8,20,163
10714,24,61,1.633,0,23,1404.8,1.3,1826,8,16,163
10716,23,62,1.633,0,23,1416.2,1.3,1841,8,16,163
10724,24,61,1.633,0,23,1407.6,1.3,1830,8,16,163
10728,22,62,1.631,0,23,1420.5,1.7,2415,8,19,163
10732,25,62,1.632,0,23,1409.6,1.3,1832,8,16,163
10733,23,61,1.633,0,23,1410.9,1.3,1834,8,16,163
10734,25,61,1.632,1,23,1543.5,1.9,2933,8,22,163
10738,24,63,1.632,1,24,1577.9,1.5,2367,8,19,163
10740,25,63,1.631,0,24,1421.8,1.3,1848,8,16,163
10741,23,61,1.631,1,23,1562.6,1.3,2031,8,17,163
10743,24,61,1.632,0,23,1407.1,1.7,2392,8,19,163
10745,22,61,1.632,0,23,1418.3,1.7,2411,8,19,163
10746,23,61,1.631,0,23,1406.2,1.7,2391,8,19,163
10748,22,63,1.632,0,24,1431.4,1.7,2433,8,19,163
10753,25,64,1.631,0,24,1426.1,1.7,2424,8,19,163
10756,25,64,1.632,1,24,1582.5,1.5,2374,8,19,163
10757,24,61,1.633,1,23,1548.5,1.9,2942,8,22,163
10759,22,61,1.632,1,23,1571.5,1.3,2043,8,17,163
10761,25,63,1.631,0,24,1422.6,1.7,2418,8,19,163
10762,24,63,1.631,0,24,1425.0,1.7,2423,8,19,163
10763,24,61,1.633,0,23,1401.3,1.7,2382,8,19,163
10765,23,61,1.632,0,23,1414.2,1.3,1838,8,16,163
10767,24,63,1.631,0,24,1421.0,1.3,1847,8,16,163
10772,25,60,1.631,1,23,1539.9,1.3,2002,8,17,163
10773,22,61,1.631,0,23,1419.0,1.3,1845,8,16,163
10779,24,62,1.632,1,23,1571.4,1.5,2357,8,19,163
10780,24,64,1.632,0,24,1432.0,1.7,2434,8,19,163
10782,25,61,1.631,1,23,1552.4,1.3,2018,8,17,163
10786,22,61,1.632,0,23,1416.7,1.7,2408,8,19,163
10789,24,62,1.633,0,23,1418.0,1.3,1843,8,16,163
10790,23,61,1.632,1,23,1561.4,1.3,2030,8,17,163
10791,23,62,1.632,1,23,1572.6,1.3,2044,8,17,163
10793,24,61,1.633,0,23,1404.7,1.7,2388,8,19,163
10795,24,61,1.632,0,23,1401.1,1.3,1821,8,16,163
10798,23,62,1.631,0,23,1414.8,1.7,2405,8,19,163
10800,24,61,1.631,1,23,1554.0,1.3,2020,8,17,163
10802,24,62,1.632,0,23,1415.1,1.3,1840,8,16,163
10804,24,61,1.633,0,23,1401.8,1.7,2383,8,19,163
10808,25,61,1.632,1,23,1550.9,1.7,2636,8,20,163
10809,24,62,1.632,0,23,1412.7,1.3,1836,8,16,163
10810,24,60,1.631,1,23,1546.9,1.9,2939,8,22,163
10813,24,62,1.631,1,23,1567.9,1.3,2038,8,17,163
10814,24,64,1.633,0,24,1430.0,1.7,2431,8,19,163
10818,25,61,1.633,1,23,1553.5,1.7,2641,8,20,163
10819,25,62,1.632,0,23,1414.6,1.3,1839,8,16,163
10826,22,60,1.633,0,23,1409.3,1.3,1832,8,16,163
10828,22,63,1.631,0,24,1429.8,1.7,2431,8,19,163
10834,24,63,1.631,1,23,1574.6,1.5,2362,8,19,163
10835,22,64,1.631,1,24,1605.8,1.5,2409,8,19,163
10836,25,61,1.632,1,23,1546.5,1.7,2629,8,20,163
10838,24,61,1.633,0,23,1402.1,1.3,1823,8,16,163
10844,24,63,1.633,0,23,1421.4,1.3,1848,8,16,163
10845,22,63,1.632,1,24,1595.2,1.5,2393,8,19,163
10847,23,61,1.632,0,23,1412.7,1.3,1836,8,16,163
10849,22,61,1.631,0,23,1415.4,1.3,1840,8,16,163
10850,23,61,1.631,1,23,1555.4,1.7,2644,8,20,163
10852,22,61,1.633,0,23,1417.6,1.7,2410,8,19,163
10853,25,62,1.632,1,23,1557.2,1.3,2024,8,17,163
10861,24,61,1.632,0,23,1404.2,1.7,2387,8,19,163
10862,23,64,1.631,0,24,1436.5,1.7,2442,8,19,163
10865,22,62,1.632,0,23,1427.3,1.7,2426,8,19,163
10874,22,61,1.631,0,23,1412.2,1.7,2401,8,19,163
10877,24,62,1.631,0,23,1412.2,1.3,1836,8,16,163
10880,24,63,1.631,1,24,1586.6,1.5,2380,8,19,163
10881,24,62,1.633,1,23,1565.4,1.3,2035,8,17,163
10883,22,63,1.632,1,24,1590.6,1.5,2386,8,19,163
10884,25,63,1.632,1,24,1575.0,1.3,2047,8,17,163
10886,22,61,1.632,0,23,1411.5,1.3,1835,8,16,163
10887,22,63,1.631,0,24,1437.3,1.5,2156,8,18,163
10889,23,62,1.631,1,23,1575.8,1.5,2364,8,19,163
10894,24,62,1.632,1,23,1572.6,1.3,2044,8,17,163
10895,24,62,1.632,1,23,1561.9,1.3,2030,8,17,163
10896,22,63,1.632,1,24,1596.8,1.5,2395,8,19,163
10897,25,61,1.631,1,23,1550.2,1.7,2635,8,20,163
10898,24,62,1.633,0,23,1415.2,1.3,1840,8,16,163
10906,22,64,1.632,1,24,1603.7,1.5,2406,8,19,163
10912,25,62,1.633,0,23,1408.4,1.3,1831,8,16,163
10913,23,63,1.633,0,23,1424.7,1.7,2422,8,19,163
10914,22,62,1.632,1,23,1576.6,1.5,2365,8,19,163
10915,24,62,1.631,0,23,1411.6,1.7,2400,8,19,163
10917,24,62,1.633,1,23,1573.5,1.3,2046,8,17,163
10918,23,61,1.631,0,23,1410.7,1.3,1834,8,16,163
10921,25,60,1.633,0,23,1395.2,1.3,1814,8,16,163
10922,25,62,1.632,1,23,1555.0,1.3,2022,8,17,163
10923,22,61,1.631,1,23,1567.5,1.5,2351,8,19,163
10926,24,62,1.631,1,23,1566.7,1.3,2037,8,17,163
10927,23,63,1.632,0,24,1424.9,1.7,2422,8,19,163
10929,22,61,1.632,0,23,1410.4,1.7,2398,8,19,163
10933,22,61,1.631,1,23,1571.2,1.3,2043,8,17,163
10935,25,61,1.632,0,23,1400.7,1.3,1821,8,16,163
10939,23,62,1.632,0,23,1421.2,1.3,1848,8,16,163
10940,22,63,1.632,1,23,1589.4,1.5,2384,8,19,163
10941,23,63,1.632,1,24,1585.1,1.5,2378,8,19,163
10946,25,62,1.633,0,23,1408.9,1.7,2395,8,19,163
10947,24,62,1.631,1,23,1571.6,1.3,2043,8,17,163
10948,22,61,1.632,0,23,1411.2,1.3,1835,8,16,163
10949,22,63,1.632,0,24,1435.1,1.7,2440,8,19,163
10952,22,63,1.632,1,24,1596.0,1.5,2394,8,19,163
10958,25,62,1.632,1,23,1562.9,1.3,2032,8,17,163
10962,23,62,1.632,1,23,1572.3,1.5,2358,8,19,163
10963,22,61,1.631,0,23,1411.3,1.3,1835,8,16,163
10965,25,63,1.631,0,24,1419.1,1.7,2413,8,19,163
10967,23,63,1.631,1,24,1592.4,1.5,2389,8,19,163
10976,22,61,1.631,1,23,1572.9,1.3,2045,8,17,163
10977,25,61,1.632,0,23,1401.5,1.3,1822,8,16,163
10981,23,63,1.631,1,24,1588.7,1.5,2383,8,19,163
10983,24,62,1.633,0,23,1413.1,1.3,1837,8,16,163
10993,25,61,1.631,1,23,1542.4,1.3,2005,8,17,163
10995,22,63,1.632,1,24,1597.6,1.5,2396,8,19,163
10998,23,63,1.632,1,24,1584.7,1.5,2377,8,19,163
10999,22,62,1.631,1,23,1587.2,1.5,2381,8,19,163
11000,22,61,1.633,0,23,1418.5,1.7,2411,8,19,163
11006,22,63,1.632,0,24,1434.2,1.5,2151,8,18,163
11010,25,63,1.633,1,23,1568.9,1.5,2353,8,19,163
11013,23,62,1.633,1,23,1572.6,1.5,2359,8,19,163
11014,25,63,1.631,0,24,1423.8,1.7,2420,8,19,163
11016,23,62,1.632,0,23,1420.9,1.3,1847,8,16,163
11019,23,62,1.632,1,23,1571.9,1.3,2044,8,17,163
11021,25,60,1.631,1,23,1539.1,1.3,2001,8,17,163
11024,25,62,1.632,1,23,1555.5,1.7,2644,8,20,163
11025,24,61,1.631,0,23,1407.4,1.7,2393,8,19,163
11031,22,62,1.631,1,23,1582.9,1.5,2374,8,19,163
11033,24,61,1.631,1,23,1556.8,1.7,2647,8,20,163
11034,24,62,1.631,0,23,1413.7,1.3,1838,8,16,163
11038,25,62,1.631,1,23,1563.3,1.3,2032,8,17,163
11039,23,62,1.633,1,23,1571.8,1.5,2358,8,19,163
11041,25,61,1.632,0,23,1401.6,1.3,1822,8,16,163
11043,23,64,1.631,0,24,1434.4,1.5,2152,8,18,163
11047,25,62,1.633,1,23,1564.8,1.3,2034,8,17,163
11052,24,61,1.633,1,23,1548.7,1.7,2633,8,20,163
11059,25,62,1.632,0,23,1407.1,1.7,2392,8,19,163
11062,24,62,1.633,0,23,1417.6,1.7,2410,8,19,163
11066,24,61,1.633,1,23,1556.7,1.3,2024,8,17,163
11070,25,62,1.633,0,23,1410.2,1.3,1833,8,16,163
11072,25,63,1.631,1,24,1569.9,1.5,2355,8,19,163
11073,23,64,1.632,1,24,1598.8,1.5,2398,8,19,163
11074,24,61,1.631,0,23,1402.2,1.3,1823,8,16,163
11080,25,63,1.632,0,24,1419.2,1.3,1845,8,16,163
11084,25,62,1.631,0,23,1409.3,1.7,2396,8,19,163
11086,25,63,1.631,1,24,1573.6,1.3,2046,8,17,163
11088,24,64,1.631,0,24,1430.2,1.7,2431,8,19,163
11094,24,61,1.632,1,23,1556.1,1.3,2023,8,17,163
11102,22,62,1.631,0,23,1420.9,1.7,2416,8,19,163
11107,25,63,1.633,1,24,1575.0,1.5,2362,8,19,163
11109,23,63,1.631,1,24,1591.6,1.5,2387,8,19,163
11110,23,62,1.632,1,23,1572.1,1.3,2044,8,17,163
11113,24,63,1.631,1,24,1585.7,1.5,2379,8,19,163
11116,25,63,1.633,0,24,1421.0,1.3,1847,8,16,163
11118,22,61,1.633,1,23,1566.0,1.3,2036,8,17,163
11121,24,62,1.631,1,23,1573.8,1.5,2361,8,19,163
11123,23,62,1.632,1,23,1570.8,1.5,2356,8,19,163
11127,24,62,1.632,1,23,1561.7,1.3,2030,8,17,163
11128,24,62,1.633,0,23,1416.7,1.7,2408,8,19,163
11135,23,62,1.632,0,23,1418.8,1.3,1844,8,16,163
11136,24,61,1.633,0,23,1408.6,1.3,1831,8,16,163
11139,22,62,1.631,1,23,1576.8,1.3,2050,8,17,163
11142,23,63,1.633,0,24,1426.4,1.7,2425,8,19,163
11145,25,63,1.632,1,24,1573.0,1.5,2359,8,19,163
11147,22,62,1.632,0,23,1425.4,1.7,2423,8,19,163
11148,23,63,1.633,0,24,1433.7,1.7,2437,8,19,163
11150,23,62,1.631,1,23,1579.1,1.5,2369,8,19,163
11153,25,63,1.631,0,24,1423.9,1.7,2421,8,19,163
11154,23,62,1.632,0,23,1417.6,1.7,2410,8,19,163
11157,25,61,1.631,1,23,1543.3,1.7,2624,8,20,163
11158,25,61,1.632,0,23,1401.9,1.7,2383,8,19,163
11160,22,64,1.632,1,24,1603.7,1.5,2406,8,19,163
11163,23,62,1.633,0,23,1422.0,1.3,1849,8,16,163
11164,23,63,1.633,0,23,1425.7,1.7,2424,8,19,163
11166,23,63,1.632,1,24,1583.1,1.5,2375,8,19,163
11173,25,60,1.632,0,23,1395.0,1.7,2372,8,19,163
11174,23,61,1.632,0,23,1408.7,1.3,1831,8,16,163
11177,23,61,1.631,0,23,1411.0,1.3,1834,8,16,163
11178,25,61,1.632,0,23,1398.5,1.3,1818,8,16,163
11183,23,60,1.631,1,23,1552.9,1.3,2019,8,17,163
11198,23,62,1.632,1,23,1568.5,1.5,2353,8,19,163
11199,22,63,1.631,0,24,1438.0,1.5,2157,8,18,163
11203,24,60,1.632,0,23,1400.0,1.3,1820,8,16,163
11206,22,62,1.631,0,23,1421.5,1.3,1848,8,16,163
11207,24,63,1.633,1,24,1587.2,1.5,2381,8,19,163
11208,25,61,1.632,0,23,1402.6,1.3,1823,8,16,163
11211,23,62,1.631,1,23,1577.9,1.5,2367,8,19,163
11212,24,63,1.633,0,24,1424.4,1.7,2421,8,19,163
11216,23,61,1.631,1,23,1556.9,1.3,2024,8,17,163
11219,23,61,1.633,0,23,1413.3,1.3,1837,8,16,163
11226,23,62,1.633,1,23,1575.3,1.5,2363,8,19,163
11227,25,62,1.632,1,23,1557.4,1.3,2025,8,17,163
11229,24,62,1.632,0,23,1417.9,1.3,1843,8,16,163
11236,24,61,1.633,1,23,1550.1,1.9,2945,8,22,163
11238,25,61,1.632,1,23,1544.9,1.7,2626,8,20,163
11241,23,62,1.631,0,23,1418.7,1.3,1844,8,16,163
11243,24,63,1.631,1,24,1588.1,1.5,2382,8,19,163
11245,22,64,1.632,1,24,1605.6,1.5,2408,8,19,163
11247,24,61,1.632,1,23,1549.5,1.9,2944,8,22,163
11249,23,62,1.633,0,23,1418.9,1.3,1845,8,16,163
11251,22,62,1.631,1,23,1581.5,1.5,2372,8,19,163
11253,22,63,1.632,1,24,1597.8,1.5,2397,8,19,163
11265,24,62,1.633,0,23,1418.7,1.7,2412,8,19,163
11267,22,62,1.631,0,23,1427.5,1.7,2427,8,19,163
11269,23,63,1.632,0,24,1425.7,1.7,2424,8,19,163
11271,24,62,1.632,0,23,1410.6,1.3,1834,8,16,163
11272,23,63,1.631,0,24,1433.5,1.5,2150,8,18,163
11279,22,61,1.632,1,23,1574.4,1.5,2362,8,19,163
11282,25,63,1.632,0,24,1418.5,1.3,1844,8,16,163
11290,22,61,1.632,1,23,1572.3,1.5,2358,8,19,163
11291,23,61,1.631,1,23,1557.9,1.7,2648,8,20,163
11305,23,62,1.632,1,23,1578.8,1.5,2368,8,19,163
11306,23,63,1.632,1,24,1595.4,1.5,2393,8,19,163
11308,23,62,1.632,0,23,1419.4,1.7,2413,8,19,163
11315,22,63,1.633,0,24,1432.4,1.7,2435,8,19,163
11317,22,62,1.632,0,23,1421.2,1.7,2416,8,19,163
11322,23,62,1.632,1,23,1571.7,1.5,2358,8,19,163
11328,22,61,1.633,0,23,1415.5,1.7,2406,8,19,163
11329,25,63,1.633,1,24,1579.8,1.5,2370,8,19,163
11333,22,62,1.633,1,23,1581.7,1.5,2372,8,19,163
11334,23,61,1.631,0,23,1410.8,1.7,2398,8,19,163
11336,24,61,1.631,1,23,1549.7,1.9,2944,8,22,163
11337,24,61,1.632,0,23,1401.7,1.3,1822,8,16,163
11343,23,61,1.633,1,23,1563.3,1.3,2032,8,17,163
11349,24,62,1.633,1,23,1572.6,1.5,2359,8,19,163
11350,22,61,1.632,0,23,1410.1,1.7,2397,8,19,163
11352,25,61,1.631,1,23,1551.1,1.3,2016,8,17,163
11353,24,61,1.632,0,23,1407.2,1.3,1829,8,16,163
11356,24,61,1.633,1,23,1559.3,1.3,2027,8,17,163
11357,25,61,1.632,0,23,1403.2,1.3,1824,8,16,163
11359,25,62,1.632,0,23,1407.9,1.7,2393,8,19,163
11368,24,61,1.631,0,23,1404.8,1.3,1826,8,16,163
11371,22,61,1.632,0,23,1415.7,1.7,2407,8,19,163
11372,22,61,1.633,0,23,1412.5,1.3,1836,8,16,163
11380,23,62,1.633,1,23,1576.9,1.5,2365,8,19,163
11383,22,64,1.631,0,24,1440.1,1.5,2160,8,18,163
11388,25,63,1.632,1,24,1576.3,1.5,2365,8,19,163
11389,23,64,1.631,1,24,1595.2,1.5,2393,8,19,163
11390,23,62,1.632,0,23,1414.8,1.7,2405,8,19,163
11393,24,63,1.632,1,24,1581.4,1.5,2372,8,19,163
11396,24,62,1.632,0,23,1412.6,1.7,2401,8,19,163
11398,23,62,1.632,1,23,1568.7,1.3,2039,8,17,163
11400,23,61,1.632,0,23,1406.8,1.7,2391,8,19,163
11401,22,62,1.633,1,23,1579.9,1.5,2370,8,19,163
11403,24,63,1.633,0,24,1423.3,1.7,2420,8,19,163
11404,25,61,1.633,1,23,1552.1,1.7,2639,8,20,163
11406,24,63,1.632,1,24,1582.2,1.5,2373,8,19,163
11408,24,61,1.632,1,23,1555.5,1.3,2022,8,17,163
11413,25,61,1.632,1,23,1550.9,1.9,2947,8,22,163
11414,23,61,1.632,0,23,1411.2,1.3,1835,8,16,163
11415,22,62,1.631,1,23,1574.7,1.5,2362,8,19,163
11417,22,61,1.633,0,23,1410.5,1.3,1834,8,16,163
11420,24,60,1.632,0,23,1399.6,1.7,2379,8,19,163
11421,23,60,1.633,1,23,1554.1,1.7,2642,8,20,163
11422,25,62,1.632,0,23,1413.6,1.7,2403,8,19,163
11425,24,61,1.632,1,23,1555.4,1.7,2644,8,20,163
11430,22,62,1.633,0,23,1425.9,1.7,2424,8,19,163
11431,23,63,1.632,0,24,1429.9,1.7,2431,8,19,163
11433,23,63,1.631,0,24,1430.9,1.7,2433,8,19,163
11435,23,60,1.633,1,23,1554.2,1.3,2020,8,17,163
11438,24,62,1.632,1,23,1571.4,1.3,2043,8,17,163
11439,24,63,1.631,1,24,1587.4,1.5,2381,8,19,163
11440,25,62,1.632,1,23,1555.3,1.3,2022,8,17,163
11442,24,63,1.631,0,24,1425.9,1.7,2424,8,19,163
11443,24,62,1.633,0,23,1413.1,1.7,2402,8,19,163
11445,24,63,1.633,0,24,1429.1,1.7,2429,8,19,163
11451,24,61,1.632,1,23,1549.5,1.7,2634,8,20,163
11454,23,62,1.631,0,23,1415.8,1.3,1841,8,16,163
11455,23,63,1.632,0,24,1426.1,1.7,2424,8,19,163
11459,25,61,1.633,1,23,1550.2,1.9,2945,8,22,163
11462,22,62,1.633,1,23,1586.5,1.5,2380,8,19,163
11463,22,63,1.632,1,24,1590.1,1.5,2385,8,19,163
11466,25,63,1.631,1,24,1574.5,1.3,2047,8,17,163
11468,23,61,1.631,0,23,1409.5,1.7,2396,8,19,163
11469,23,61,1.632,1,23,1560.8,1.3,2029,8,17,163
11476,22,62,1.633,0,23,1423.3,1.7,2420,8,19,163
11484,23,61,1.633,0,23,1407.1,1.7,2392,8,19,163
11487,22,63,1.632,1,23,1590.2,1.5,2385,8,19,163
11488,23,63,1.632,1,24,1587.6,1.5,2381,8,19,163
11504,23,62,1.631,0,23,1415.3,1.3,1840,8,16,163
11506,23,63,1.633,1,24,1594.9,1.5,2392,8,19,163
11508,22,63,1.632,0,24,1430.8,1.7,2432,8,19,163
11511,25,61,1.631,0,23,1397.6,1.7,2376,8,19,163
11514,24,62,1.632,1,23,1568.7,1.5,2353,8,19,163
11515,24,61,1.632,0,23,1404.1,1.7,2387,8,19,163
11519,23,64,1.633,0,24,1434.8,1.5,2152,8,18,163
11533,23,61,1.633,1,23,1555.7,1.7,2645,8,20,163
11540,24,62,1.631,0,23,1411.2,1.7,2399,8,19,163
11541,23,63,1.632,0,24,1428.0,1.7,2428,8,19,163
11543,23,64,1.632,0,24,1435.3,1.7,2440,8,19,163
11549,22,63,1.632,1,24,1598.0,1.5,2397,8,19,163
11552,24,61,1.632,0,23,1401.2,1.7,2382,8,19,163
11556,24,61,1.633,0,23,1403.8,1.3,1825,8,16,163
11558,25,63,1.632,0,23,1415.5,1.7,2406,8,19,163
11561,23,61,1.632,0,23,1413.5,1.3,1838,8,16,163
11562,23,61,1.631,1,23,1557.9,1.3,2025,8,17,163
11565,24,61,1.633,1,23,1554.4,1.7,2643,8,20,163
